序号,IP,端口,位置,运营商,时间,sucess
281,183.164.243.185,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.243.185:8089
282,113.223.215.142,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.215.142:8089
283,183.164.242.191,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.242.191:8089
284,114.231.42.131,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.231.42.131:8888
285,61.160.202.109,80,江苏省常州市,电信,2024/01/05 16:45:02,61.160.202.109:80
286,1.14.97.98,3128,北京市,北京北大方正宽带网络科技有限公司,2024/01/05 16:45:02,1.14.97.98:3128
287,117.69.233.185,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.233.185:8089
288,117.69.237.77,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.237.77:8089
289,114.231.82.131,8089,江苏省南通市如皋市,电信,2024/01/05 16:45:02,114.231.82.131:8089
290,114.231.46.171,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.46.171:8089
291,140.249.88.192,80,山东省临沂市,电信,2024/01/05 16:45:02,140.249.88.192:80
292,223.247.47.1,8089,安徽省池州市,电信,2024/01/05 16:45:02,223.247.47.1:8089
293,183.164.242.176,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.242.176:8089
294,223.215.177.16,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,223.215.177.16:8089
295,114.231.41.31,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.41.31:8089
296,140.249.89.116,80,山东省临沂市,电信,2024/01/05 16:45:02,140.249.89.116:80
297,183.164.243.244,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.243.244:8089
298,117.57.92.195,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.57.92.195:8089
299,36.6.145.194,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.145.194:8089
300,114.102.45.250,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.45.250:8089
301,36.6.145.164,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.145.164:8089
302,113.223.213.40,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.213.40:8089
303,117.57.92.5,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.57.92.5:8089
304,114.55.225.158,80,浙江省杭州市,阿里云BGP数据中心,2024/01/05 16:45:02,114.55.225.158:80
305,36.6.145.5,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.145.5:8089
306,27.205.41.207,9000,山东省潍坊市安丘市,联通,2024/01/05 16:45:02,27.205.41.207:9000
307,61.216.156.222,60808,台湾省,中华电信(HiNet)数据中心,2024/01/05 16:45:02,61.216.156.222:60808
308,117.72.9.233,7890,北京市,方正宽带,2024/01/05 16:45:02,117.72.9.233:7890
309,36.6.145.156,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.145.156:8089
310,114.231.8.156,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.231.8.156:8888
311,114.102.47.17,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.47.17:8089
312,183.164.243.71,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.243.71:8089
313,114.232.109.89,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.232.109.89:8089
314,42.63.65.88,80,宁夏,联通,2024/01/05 16:45:02,42.63.65.88:80
315,121.41.59.145,80,浙江省杭州市,阿里巴巴网络有限公司BGP数据中心,2024/01/05 16:45:02,121.41.59.145:80
316,60.174.1.219,8089,安徽省池州市,电信,2024/01/05 16:45:02,60.174.1.219:8089
317,114.102.44.57,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.44.57:8089
318,36.6.145.19,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.145.19:8089
319,113.223.213.43,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.213.43:8089
320,114.231.82.133,8888,江苏省南通市如皋市,电信,2024/01/05 16:45:02,114.231.82.133:8888
321,114.231.45.38,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.45.38:8089
322,218.57.210.186,9002,山东省聊城市,联通,2024/01/05 16:45:02,218.57.210.186:9002
323,47.109.46.223,8060,浙江省杭州市,阿里云,2024/01/05 16:45:02,47.109.46.223:8060
324,140.249.90.223,80,山东省临沂市,电信,2024/01/05 16:45:02,140.249.90.223:80
325,114.231.8.95,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.231.8.95:8888
326,117.69.233.101,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.233.101:8089
327,117.69.232.150,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.232.150:8089
328,114.231.8.109,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.8.109:8089
329,1.12.43.111,80,北京市,北京北大方正宽带网络科技有限公司,2024/01/05 16:45:02,1.12.43.111:80
330,111.26.177.28,9091,吉林省长春市,移动,2024/01/05 16:45:02,111.26.177.28:9091
331,120.79.16.132,84,浙江省杭州市,阿里云BGP数据中心,2024/01/05 16:45:02,120.79.16.132:84
332,183.234.215.11,8443,广东省东莞市,移动,2024/01/05 16:45:02,183.234.215.11:8443
333,114.104.227.93,41122,安徽省黄山市,电信,2024/01/05 16:45:02,114.104.227.93:41122
334,117.57.93.45,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.57.93.45:8089
335,36.6.144.66,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.144.66:8089
336,47.113.203.122,20201,浙江省杭州市,阿里云,2024/01/05 16:45:02,47.113.203.122:20201
337,120.46.215.52,7000,中国,中信网络,2024/01/05 16:45:02,120.46.215.52:7000
338,36.6.145.247,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.145.247:8089
339,117.57.92.38,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.57.92.38:8089
340,111.1.27.85,80,浙江省,移动,2024/01/05 16:45:02,111.1.27.85:80
341,121.43.32.2,80,浙江省杭州市,阿里巴巴网络有限公司BGP数据中心,2024/01/05 16:45:02,121.43.32.2:80
342,42.63.65.42,80,宁夏,联通,2024/01/05 16:45:02,42.63.65.42:80
343,114.231.45.243,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.231.45.243:8888
344,113.223.215.87,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.215.87:8089
345,36.6.145.239,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.145.239:8089
346,112.17.16.212,80,浙江省杭州市,移动,2024/01/05 16:45:02,112.17.16.212:80
347,121.40.251.172,80,浙江省杭州市,阿里巴巴网络有限公司BGP数据中心,2024/01/05 16:45:02,121.40.251.172:80
348,114.102.44.23,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.44.23:8089
349,42.63.65.40,80,宁夏,联通,2024/01/05 16:45:02,42.63.65.40:80
350,110.80.140.213,443,福建省福州市,电信,2024/01/05 16:45:02,110.80.140.213:443
351,112.17.16.218,80,浙江省杭州市,移动,2024/01/05 16:45:02,112.17.16.218:80
352,42.63.65.95,80,宁夏,联通,2024/01/05 16:45:02,42.63.65.95:80
353,36.6.144.131,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.144.131:8089
354,222.190.223.161,8089,江苏省泰州市海陵区,,2024/01/05 16:45:02,222.190.223.161:8089
355,124.70.205.56,50001,北京市,中电华通,2024/01/05 16:45:02,124.70.205.56:50001
356,61.160.202.108,80,江苏省常州市,电信,2024/01/05 16:45:02,61.160.202.108:80
357,117.69.233.127,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.233.127:8089
358,58.20.77.137,2323,湖南省长沙市,联通,2024/01/05 16:45:02,58.20.77.137:2323
359,116.63.128.247,81,吉林省吉林市,中移铁通,2024/01/05 16:45:02,116.63.128.247:81
360,117.69.232.248,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.232.248:8089
361,114.99.15.246,8089,安徽省安庆市,电信,2024/01/05 16:45:02,114.99.15.246:8089
362,60.188.5.158,80,浙江省台州市黄岩区,电信,2024/01/05 16:45:02,60.188.5.158:80
363,124.70.205.56,8089,北京市,中电华通,2024/01/05 16:45:02,124.70.205.56:8089
364,36.6.144.43,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.144.43:8089
365,42.63.65.98,80,宁夏,联通,2024/01/05 16:45:02,42.63.65.98:80
366,183.164.243.110,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.243.110:8089
367,114.231.8.107,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.8.107:8089
368,36.6.145.245,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.145.245:8089
369,117.71.155.251,8089,安徽省铜陵市,电信,2024/01/05 16:45:02,117.71.155.251:8089
370,183.164.242.184,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.242.184:8089
371,121.43.101.223,80,浙江省杭州市,阿里巴巴网络有限公司BGP数据中心,2024/01/05 16:45:02,121.43.101.223:80
372,39.173.106.241,80,浙江省,移动,2024/01/05 16:45:02,39.173.106.241:80
373,117.69.237.62,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.237.62:8089
374,114.231.8.55,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.8.55:8089
375,223.111.245.251,80,江苏省,移动,2024/01/05 16:45:02,223.111.245.251:80
376,36.6.145.153,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.145.153:8089
377,183.164.242.243,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.242.243:8089
378,117.69.236.223,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.236.223:8089
379,183.164.243.14,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.243.14:8089
380,114.102.45.64,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.45.64:8089
381,183.164.243.108,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.243.108:8089
382,117.69.233.251,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.233.251:8089
383,114.231.42.5,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.42.5:8089
384,1.15.47.213,443,北京市,北京北大方正宽带网络科技有限公司,2024/01/05 16:45:02,1.15.47.213:443
385,114.106.172.19,8089,安徽省池州市,电信,2024/01/05 16:45:02,114.106.172.19:8089
386,117.69.237.250,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.237.250:8089
387,117.69.233.56,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.233.56:8089
388,47.100.90.127,6969,上海市,阿里云,2024/01/05 16:45:02,47.100.90.127:6969
389,117.186.232.73,8080,中国,移动,2024/01/05 16:45:02,117.186.232.73:8080
390,114.106.170.121,8089,安徽省池州市,电信,2024/01/05 16:45:02,114.106.170.121:8089
391,39.173.106.249,80,浙江省,移动,2024/01/05 16:45:02,39.173.106.249:80
392,117.57.92.244,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.57.92.244:8089
393,114.102.44.27,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.44.27:8089
394,47.109.52.147,50001,浙江省杭州市,阿里云,2024/01/05 16:45:02,47.109.52.147:50001
395,121.40.115.140,5001,浙江省杭州市,阿里巴巴网络有限公司BGP数据中心,2024/01/05 16:45:02,121.40.115.140:5001
396,183.164.243.199,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.243.199:8089
397,47.92.155.21,8118,河北省,阿里云,2024/01/05 16:45:02,47.92.155.21:8118
398,183.164.243.79,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.243.79:8089
399,123.182.58.198,8089,河北省张家口市,电信,2024/01/05 16:45:02,123.182.58.198:8089
400,121.37.207.154,8999,广东省深圳市,润迅通信集团有限公司,2024/01/05 16:45:02,121.37.207.154:8999
401,114.102.46.11,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.46.11:8089
402,123.56.129.203,50001,北京市,阿里云BGP数据中心,2024/01/05 16:45:02,123.56.129.203:50001
403,159.226.227.86,80,北京市,科技网,2024/01/05 16:45:02,159.226.227.86:80
404,114.232.110.96,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.232.110.96:8089
405,58.221.40.178,80,江苏省南通市,电信,2024/01/05 16:45:02,58.221.40.178:80
406,121.37.205.253,8499,广东省深圳市,润迅通信集团有限公司,2024/01/05 16:45:02,121.37.205.253:8499
407,117.69.232.125,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.232.125:8089
408,114.231.45.98,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.231.45.98:8888
409,117.69.237.90,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.237.90:8089
410,223.215.177.179,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,223.215.177.179:8089
411,114.231.45.33,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.45.33:8089
412,221.194.146.138,80,河北省廊坊市,联通,2024/01/05 16:45:02,221.194.146.138:80
413,116.63.128.247,8060,吉林省吉林市,中移铁通,2024/01/05 16:45:02,116.63.128.247:8060
414,183.164.242.179,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.242.179:8089
415,117.69.232.175,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.232.175:8089
416,159.226.227.58,80,北京市,科技网,2024/01/05 16:45:02,159.226.227.58:80
417,221.193.228.7,9002,河北省邯郸市,联通,2024/01/05 16:45:02,221.193.228.7:9002
418,183.164.242.103,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.242.103:8089
419,123.57.1.16,9295,北京市,阿里云BGP数据中心,2024/01/05 16:45:02,123.57.1.16:9295
420,117.57.92.25,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.57.92.25:8089
421,114.231.46.105,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.231.46.105:8888
422,113.223.213.233,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.213.233:8089
423,121.43.58.174,80,浙江省杭州市,阿里巴巴网络有限公司BGP数据中心,2024/01/05 16:45:02,121.43.58.174:80
424,114.102.46.224,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.46.224:8089
425,1.117.178.112,8080,北京市,中电华通,2024/01/05 16:45:02,1.117.178.112:8080
426,121.196.237.152,80,浙江省杭州市,阿里巴巴网络有限公司(BGP),2024/01/05 16:45:02,121.196.237.152:80
427,36.6.144.195,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.144.195:8089
428,123.182.58.84,8089,河北省张家口市,电信,2024/01/05 16:45:02,123.182.58.84:8089
429,180.119.93.173,8089,江苏省扬州市,电信,2024/01/05 16:45:02,180.119.93.173:8089
430,114.231.104.105,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.104.105:8089
431,113.223.213.243,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.213.243:8089
432,114.231.42.107,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.42.107:8089
433,106.110.214.217,41122,江苏省盐城市,电信,2024/01/05 16:45:02,106.110.214.217:41122
434,60.28.196.211,80,天津市,联通,2024/01/05 16:45:02,60.28.196.211:80
435,42.63.65.123,80,宁夏,联通,2024/01/05 16:45:02,42.63.65.123:80
436,183.164.242.246,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.242.246:8089
437,36.6.145.60,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.145.60:8089
438,114.231.82.32,8089,江苏省南通市如皋市,电信,2024/01/05 16:45:02,114.231.82.32:8089
439,117.69.232.47,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.232.47:8089
440,61.160.202.59,80,江苏省常州市,电信,2024/01/05 16:45:02,61.160.202.59:80
441,117.69.237.239,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.237.239:8089
442,111.40.62.199,9091,黑龙江省哈尔滨市,移动,2024/01/05 16:45:02,111.40.62.199:9091
443,117.57.92.109,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.57.92.109:8089
444,59.37.128.138,8082,广东省,电信,2024/01/05 16:45:02,59.37.128.138:8082
445,113.223.214.168,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.214.168:8089
446,114.102.47.216,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.47.216:8089
447,159.226.227.57,80,北京市,科技网,2024/01/05 16:45:02,159.226.227.57:80
448,114.231.45.179,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.45.179:8089
449,183.164.242.92,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.242.92:8089
450,101.37.27.81,80,浙江省杭州市,阿里云,2024/01/05 16:45:02,101.37.27.81:80
451,47.96.139.188,80,浙江省杭州市,阿里云,2024/01/05 16:45:02,47.96.139.188:80
452,112.17.16.233,80,浙江省杭州市,移动,2024/01/05 16:45:02,112.17.16.233:80
453,182.34.26.32,9999,山东省烟台市,电信,2024/01/05 16:45:02,182.34.26.32:9999
454,183.164.242.207,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.242.207:8089
455,60.174.0.197,8089,安徽省池州市,电信,2024/01/05 16:45:02,60.174.0.197:8089
456,42.63.65.38,80,宁夏,联通,2024/01/05 16:45:02,42.63.65.38:80
457,223.247.46.133,8089,安徽省池州市,电信,2024/01/05 16:45:02,223.247.46.133:8089
458,114.231.46.246,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.231.46.246:8888
459,112.17.16.219,80,浙江省杭州市,移动,2024/01/05 16:45:02,112.17.16.219:80
460,222.88.167.22,9002,河南省鹤壁市,电信,2024/01/05 16:45:02,222.88.167.22:9002
461,117.69.233.46,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.233.46:8089
462,121.41.79.83,80,浙江省杭州市,阿里巴巴网络有限公司BGP数据中心,2024/01/05 16:45:02,121.41.79.83:80
463,119.39.68.99,2323,湖南省长沙市,联通,2024/01/05 16:45:02,119.39.68.99:2323
464,60.205.132.71,80,北京市,阿里云BGP服务器,2024/01/05 16:45:02,60.205.132.71:80
465,42.63.65.93,80,宁夏,联通,2024/01/05 16:45:02,42.63.65.93:80
466,39.173.106.251,80,浙江省,移动,2024/01/05 16:45:02,39.173.106.251:80
467,159.226.227.96,80,北京市,科技网,2024/01/05 16:45:02,159.226.227.96:80
468,47.113.221.120,3127,浙江省杭州市,阿里云,2024/01/05 16:45:02,47.113.221.120:3127
469,159.226.227.26,80,北京市,科技网,2024/01/05 16:45:02,159.226.227.26:80
470,121.41.16.144,80,浙江省杭州市,阿里巴巴网络有限公司BGP数据中心,2024/01/05 16:45:02,121.41.16.144:80
471,114.231.8.196,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.231.8.196:8888
472,114.231.42.91,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.42.91:8089
473,112.17.16.210,80,浙江省杭州市,移动,2024/01/05 16:45:02,112.17.16.210:80
474,42.63.65.121,80,宁夏,联通,2024/01/05 16:45:02,42.63.65.121:80
475,114.231.46.17,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.231.46.17:8888
476,114.231.45.14,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.231.45.14:8888
477,113.223.215.99,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.215.99:8089
478,120.79.21.48,17328,浙江省杭州市,阿里云BGP数据中心,2024/01/05 16:45:02,120.79.21.48:17328
479,121.37.199.23,3127,广东省深圳市,润迅通信集团有限公司,2024/01/05 16:45:02,121.37.199.23:3127
480,114.102.44.222,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.44.222:8089
481,117.69.233.43,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.233.43:8089
482,121.41.122.240,80,浙江省杭州市,阿里巴巴网络有限公司BGP数据中心,2024/01/05 16:45:02,121.41.122.240:80
483,120.55.49.231,1234,浙江省杭州市,阿里云BGP数据中心,2024/01/05 16:45:02,120.55.49.231:1234
484,182.155.187.152,8123,台湾省,威达电讯(VeeTime),2024/01/05 16:45:02,182.155.187.152:8123
485,140.249.88.236,80,山东省临沂市,电信,2024/01/05 16:45:02,140.249.88.236:80
486,123.56.129.203,3333,北京市,阿里云BGP数据中心,2024/01/05 16:45:02,123.56.129.203:3333
487,183.164.243.16,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.243.16:8089
488,39.173.106.248,80,浙江省,移动,2024/01/05 16:45:02,39.173.106.248:80
489,117.69.236.67,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.236.67:8089
490,114.102.47.147,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.47.147:8089
491,42.63.65.61,80,宁夏,联通,2024/01/05 16:45:02,42.63.65.61:80
492,117.86.15.122,8089,江苏省南通市,电信,2024/01/05 16:45:02,117.86.15.122:8089
493,123.182.59.3,8089,河北省张家口市,电信,2024/01/05 16:45:02,123.182.59.3:8089
494,139.224.56.162,6969,浙江省杭州市,阿里云BGP数据中心,2024/01/05 16:45:02,139.224.56.162:6969
495,112.17.16.168,80,浙江省杭州市,移动,2024/01/05 16:45:02,112.17.16.168:80
496,61.130.9.37,443,浙江省杭州市萧山区,教育网,2024/01/05 16:45:02,61.130.9.37:443
497,117.69.236.238,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.236.238:8089
498,61.160.202.74,80,江苏省常州市,电信,2024/01/05 16:45:02,61.160.202.74:80
499,114.231.8.101,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.231.8.101:8888
500,36.6.144.206,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.144.206:8089
501,113.223.214.155,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.214.155:8089
502,114.231.41.226,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.231.41.226:8888
503,183.164.243.11,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.243.11:8089
504,114.231.8.158,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.231.8.158:8888
505,111.225.152.85,8089,河北省张家口市,电信,2024/01/05 16:45:02,111.225.152.85:8089
506,117.69.236.250,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.236.250:8089
507,114.232.109.78,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.232.109.78:8888
508,117.69.237.177,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.237.177:8089
509,60.174.0.111,8089,安徽省池州市,电信,2024/01/05 16:45:02,60.174.0.111:8089
510,114.231.46.71,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.46.71:8089
511,36.6.144.171,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.144.171:8089
512,223.215.176.74,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,223.215.176.74:8089
513,36.6.144.27,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.144.27:8089
514,114.102.46.72,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.46.72:8089
515,117.69.236.113,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.236.113:8089
516,114.231.8.72,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.8.72:8089
517,112.51.96.118,9091,福建省三明市,移动,2024/01/05 16:45:02,112.51.96.118:9091
518,140.210.196.193,8118,广东省广州市,广州恒汇网络通信有限公司,2024/01/05 16:45:02,140.210.196.193:8118
519,115.29.148.215,55443,山东省青岛市,阿里云BGP数据中心,2024/01/05 16:45:02,115.29.148.215:55443
520,103.158.252.99,8080,福建省厦门市,,2024/01/05 16:45:02,103.158.252.99:8080
521,117.69.236.38,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.236.38:8089
522,113.223.213.191,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.213.191:8089
523,183.240.23.105,8080,广东省广州市,移动,2024/01/05 16:45:02,183.240.23.105:8080
524,183.164.243.240,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.243.240:8089
525,183.164.243.54,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.243.54:8089
526,120.196.207.10,80,广东省江门市,移动,2024/01/05 16:45:02,120.196.207.10:80
527,117.71.155.240,8089,安徽省铜陵市,电信,2024/01/05 16:45:02,117.71.155.240:8089
528,117.69.232.180,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.232.180:8089
529,117.69.237.179,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.237.179:8089
530,114.231.8.177,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.8.177:8089
531,116.205.229.85,80,福建省福州市,中移铁通,2024/01/05 16:45:02,116.205.229.85:80
532,117.57.93.81,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.57.93.81:8089
533,117.71.155.64,8089,安徽省铜陵市,电信,2024/01/05 16:45:02,117.71.155.64:8089
534,114.102.44.85,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.44.85:8089
535,113.124.87.50,9999,山东省烟台市,电信,2024/01/05 16:45:02,113.124.87.50:9999
536,60.174.0.229,8089,安徽省池州市,电信,2024/01/05 16:45:02,60.174.0.229:8089
537,114.232.109.203,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.232.109.203:8089
538,114.232.109.91,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.232.109.91:8089
539,111.224.11.90,8089,河北省石家庄市,电信,2024/01/05 16:45:02,111.224.11.90:8089
540,116.63.130.30,9999,吉林省长春市,中移铁通,2024/01/05 16:45:02,116.63.130.30:9999
541,113.223.212.220,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.212.220:8089
542,114.231.45.119,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.45.119:8089
543,114.231.41.219,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.41.219:8089
544,115.29.140.201,8081,山东省青岛市,阿里云BGP数据中心,2024/01/05 16:45:02,115.29.140.201:8081
545,60.28.196.226,80,天津市,联通,2024/01/05 16:45:02,60.28.196.226:80
546,36.6.144.20,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.144.20:8089
547,117.69.233.198,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.233.198:8089
548,117.69.232.194,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.232.194:8089
549,36.6.144.127,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.144.127:8089
550,121.37.199.23,9999,广东省深圳市,润迅通信集团有限公司,2024/01/05 16:45:02,121.37.199.23:9999
551,61.160.202.72,80,江苏省常州市,电信,2024/01/05 16:45:02,61.160.202.72:80
552,114.231.82.208,8089,江苏省南通市如皋市,电信,2024/01/05 16:45:02,114.231.82.208:8089
553,114.231.45.191,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.45.191:8089
554,36.6.145.72,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.145.72:8089
555,120.79.16.132,20000,浙江省杭州市,阿里云BGP数据中心,2024/01/05 16:45:02,120.79.16.132:20000
556,125.87.94.104,8089,重庆市,电信,2024/01/05 16:45:02,125.87.94.104:8089
557,114.106.135.91,8089,安徽省池州市,电信,2024/01/05 16:45:02,114.106.135.91:8089
558,117.69.232.202,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.232.202:8089
559,183.164.243.112,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.243.112:8089
560,117.71.133.79,8089,安徽省铜陵市,电信,2024/01/05 16:45:02,117.71.133.79:8089
561,114.231.41.170,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.41.170:8089
562,114.232.110.59,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.232.110.59:8888
