序号,IP,端口,位置,运营商,时间,sucess
66,61.160.202.69,80,江苏省常州市,电信,2024/01/05 16:45:02,61.160.202.69:80
67,113.223.213.141,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.213.141:8089
68,183.164.243.132,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.243.132:8089
69,121.234.146.77,8089,江苏省南京市,电信,2024/01/05 16:45:02,121.234.146.77:8089
70,114.106.146.5,8089,安徽省池州市青阳县,电信,2024/01/05 16:45:02,114.106.146.5:8089
71,36.6.145.218,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.145.218:8089
72,223.247.46.33,8089,安徽省池州市,电信,2024/01/05 16:45:02,223.247.46.33:8089
73,117.69.232.172,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.232.172:8089
74,221.194.147.196,80,河北省廊坊市,联通,2024/01/05 16:45:02,221.194.147.196:80
75,114.231.45.45,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.231.45.45:8888
76,111.224.10.161,8089,河北省石家庄市,电信,2024/01/05 16:45:02,111.224.10.161:8089
77,159.226.227.95,80,北京市,科技网,2024/01/05 16:45:02,159.226.227.95:80
78,113.223.215.225,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.215.225:8089
79,118.31.171.218,80,北京市,好维高科通讯有限公司,2024/01/05 16:45:02,118.31.171.218:80
80,117.69.232.171,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.232.171:8089
81,36.6.145.213,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.145.213:8089
82,120.26.13.236,80,浙江省杭州市,阿里巴巴网络有限公司BGP数据中心(BGP),2024/01/05 16:45:02,120.26.13.236:80
83,114.232.109.92,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.232.109.92:8089
84,223.215.176.46,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,223.215.176.46:8089
85,36.6.145.131,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.145.131:8089
86,58.20.77.156,2323,湖南省长沙市,联通,2024/01/05 16:45:02,58.20.77.156:2323
87,112.124.33.133,80,浙江省杭州市,阿里云BGP数据中心,2024/01/05 16:45:02,112.124.33.133:80
88,113.223.213.77,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.213.77:8089
89,183.164.242.19,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.242.19:8089
90,116.63.128.247,10000,吉林省吉林市,中移铁通,2024/01/05 16:45:02,116.63.128.247:10000
91,121.40.92.95,80,浙江省杭州市,阿里巴巴网络有限公司BGP数据中心,2024/01/05 16:45:02,121.40.92.95:80
92,113.223.212.38,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.212.38:8089
93,36.6.144.157,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.144.157:8089
94,114.231.82.119,8089,江苏省南通市如皋市,电信,2024/01/05 16:45:02,114.231.82.119:8089
95,121.41.85.49,80,浙江省杭州市,阿里巴巴网络有限公司BGP数据中心,2024/01/05 16:45:02,121.41.85.49:80
96,58.20.20.67,2323,湖南省长沙市,联通,2024/01/05 16:45:02,58.20.20.67:2323
97,113.223.213.65,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.213.65:8089
98,47.97.191.179,8018,浙江省杭州市,阿里云,2024/01/05 16:45:02,47.97.191.179:8018
99,112.17.16.242,80,浙江省杭州市,移动,2024/01/05 16:45:02,112.17.16.242:80
100,36.6.144.23,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.144.23:8089
101,101.200.187.233,3333,北京市,阿里云BGP数据中心,2024/01/05 16:45:02,101.200.187.233:3333
102,60.174.0.61,8089,安徽省池州市,电信,2024/01/05 16:45:02,60.174.0.61:8089
103,223.111.245.240,80,江苏省,移动,2024/01/05 16:45:02,223.111.245.240:80
104,183.164.242.224,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.242.224:8089
